symbol,net_shares_90d,net_dollar_90d,tx_count,buy_count,sell_count,last_trade_date,rank,rank_pct
NHI,-9099.0,-855158.7000000002,4,2,2,2025-09-23,79,0.2277227722772277
PX,-91218.0,-1098021.4500000002,2,0,2,2025-09-23,80,0.2178217821782178
CIEN,-12847.0,-1185555.32,2,0,2,2025-09-24,81,0.20792079207920788
BWMN,-30000.0,-1280800.0,3,0,3,2025-09-24,82,0.19801980198019797
PATH,-122733.0,-1474845.6411000001,1,0,1,2025-09-25,83,0.18811881188118806
BKR,-32216.0,-1610800.0,5,1,4,2025-09-23,84,0.17821782178217827
GSAT,-55579.0,-1942606.7020999999,4,1,3,2025-09-25,85,0.16831683168316836
TEAM,-15330.0,-2530818.4219999993,12,0,12,2025-09-24,86,0.15841584158415845
GTLB,-63587.0,-3189676.5288,4,0,4,2025-09-23,87,0.14851485148514854
REPX,-135116.0,-3809676.006,3,0,3,2025-09-25,88,0.13861386138613863
UTHR,-13000.0,-4330121.1848,10,2,8,2025-09-24,89,0.12871287128712872
PINS,-124904.0,-4353517.9833,7,2,5,2025-09-24,90,0.1188118811881188
DGX,-28463.0,-5326041.818599999,6,2,4,2025-09-24,91,0.1089108910891089
MDB,-20000.0,-6437452.800000001,10,1,9,2025-09-23,92,0.09900990099009899
CVNA,-20000.0,-7586740.550000001,52,0,52,2025-09-24,93,0.08910891089108908
IOT,-1356000.0,-12768735.6112,18,2,16,2025-09-25,94,0.07920792079207917
HTOO,-4000.0,-13188750.0,7,0,7,2025-09-24,95,0.06930693069306926
NET,-128205.0,-17006714.7658,25,2,23,2025-09-25,96,0.05940594059405946
TMUS,-128852.0,-30754387.261699997,11,0,11,2025-09-25,97,0.04950495049504955
AVGO,-100000.0,-33958393.264,2,0,2,2025-09-23,98,0.03960396039603964
MNPR,-550229.0,-34999956.6442,1,0,1,2025-09-24,99,0.02970297029702973
GM,-595842.0,-35719537.0,9,3,6,2025-09-24,100,0.01980198019801982
CIFR,-5304540.0,-68905854.16,7,0,7,2025-09-25,101,0.00990099009900991
SMNR,-12500000.0,-200000000.0,2,0,2,2025-09-23,102,0.0
