date,cpi_change
2021-09-30,0.004362937760309826
2021-10-31,0.009439954442911347
2021-11-30,0.00830295666261649
2021-12-31,0.0071084268212204815
2022-01-31,0.006182204083958309
2022-02-28,0.007018425579205845
2022-03-31,0.010340040418240992
2022-04-30,0.003878706077567129
2022-05-31,0.009415001628653163
2022-06-30,0.012952327333770608
2022-07-31,-0.00044734844376970173
2022-08-31,0.0007526954634839989
2022-09-30,0.004265454225137466
2022-10-31,0.0052560378650634565
2022-11-30,0.00244648112786483
2022-12-31,0.00033477509808887973
2023-01-31,0.005515247249069821
2023-02-28,0.0033948398434380245
2023-03-31,0.0005539412755906081
2023-04-30,0.004027940313549472
2023-05-31,0.0015122598709624846
2023-06-30,0.0025814661936727212
2023-07-31,0.0016968158395787025
2023-08-31,0.0049997537875678955
2023-09-30,0.004037394900339164
2023-10-31,0.0009076890042749586
2023-11-30,0.0014106802143973862
2023-12-31,0.002103301989373252
2024-01-31,0.0034301261599751776
2024-02-29,0.003963924414288167
2024-03-31,0.0034884992058441533
2024-04-30,0.002912462713108077
2024-05-31,0.0003961458839163434
2024-06-30,-2.8741138149102063e-05
2024-07-31,0.001389194937581939
2024-08-31,0.001801853517281904
2024-09-30,0.0022920373984103293
2024-10-31,0.002264563237849071
2024-11-30,0.002804502414724075
2024-12-31,0.0036467171645351293
2025-01-31,0.004669351360031326
2025-02-28,0.002159292479143371
2025-03-31,-0.0005003518098661841
2025-04-30,0.002208907591946696
2025-05-31,0.0008085639093282637
2025-06-30,0.002869798490236386
2025-07-31,0.0019657853810264303
2025-08-31,0.003824519141221616
